model,language,contrast,position,frame_trivial,frame_peak_layer,frame_peak_auc,frame_onset_layer,scenario_trivial,scenario_peak_layer,scenario_peak_auc,scenario_onset_layer,binding_peak_layer,binding_peak_auc,binding_onset_layer,delta_onset_scenario_minus_binding,held_rate,held_n_judges
qwen3-8b,en,must_may,rule_clause_end,False,11,1.0,6,False,9,1.0,2,2,1.0,1,1,0.8775672313140013,3
qwen3-8b,de,must_may,rule_clause_end,False,9,1.0,4,False,9,1.0,3,2,1.0,1,2,0.8784468479225035,3
qwen3-8b,hi,must_may,rule_clause_end,False,30,0.9210069444444444,11,False,15,0.9760644998740237,9,1,1.0,1,8,0.7630465848564344,3
qwen3-8b,ig,must_may,rule_clause_end,False,10,0.6332465277777778,,False,13,0.9297052154195011,1,8,1.0,8,-7,0.46620961628799734,3
qwen3-8b,it,must_may,rule_clause_end,False,10,0.9995659722222222,6,False,7,1.0,4,7,1.0,4,0,0.8383017633017632,3
qwen3-8b,ko,must_may,rule_clause_end,False,11,0.9913194444444444,6,False,14,0.9967246157722348,1,7,1.0,3,-2,0.8877492877492877,3
qwen3-8b,ru,must_may,rule_clause_end,False,12,0.9991319444444444,7,False,20,0.9947089947089947,4,4,1.0,2,2,0.8932197622116522,3
qwen3-8b,tr,must_may,rule_clause_end,False,11,0.9943576388888888,6,False,10,0.999244142101285,1,4,1.0,4,-3,0.8174738841405508,3
qwen3-8b,ur,must_may,rule_clause_end,False,11,0.9275173611111112,7,False,21,0.9649785840262031,4,7,1.0,7,-3,0.7415346912971051,3
qwen3-8b,yo,must_may,rule_clause_end,False,29,0.56640625,,False,7,0.9339884101788863,4,1,1.0,1,3,0.5232437339052717,3
llama3.1-8b,en,must_may,rule_clause_end,False,14,0.9973958333333334,6,False,9,1.0,2,2,1.0,1,1,0.8172675902132132,3
llama3.1-8b,de,must_may,rule_clause_end,False,9,0.9887152777777778,4,False,9,0.99949609473419,2,1,1.0,1,1,0.818897594868965,3
llama3.1-8b,hi,must_may,rule_clause_end,False,8,0.7951388888888888,7,False,8,0.9959687578735198,6,5,1.0,4,2,0.6523835135963282,3
llama3.1-8b,ig,must_may,rule_clause_end,False,7,0.8046875,6,False,7,0.9856386999244142,4,9,1.0,7,-3,0.4880253331351136,3
llama3.1-8b,it,must_may,rule_clause_end,False,7,1.0,4,False,7,1.0,2,,,,,0.8164852385102104,3
llama3.1-8b,ko,must_may,rule_clause_end,False,5,0.9852430555555556,4,False,11,0.9861426051902242,1,3,1.0,1,0,0.7525502941397453,3
llama3.1-8b,ru,must_may,rule_clause_end,False,10,0.9930555555555556,7,False,10,0.9803476946334089,2,1,1.0,1,1,0.8572420032135671,3
llama3.1-8b,tr,must_may,rule_clause_end,False,4,0.9904513888888888,3,False,5,0.9982363315696648,1,1,1.0,1,0,0.6483681858236637,3
llama3.1-8b,ur,must_may,rule_clause_end,False,17,0.9084201388888888,11,False,8,0.9904257999496094,3,5,1.0,4,-1,0.5660410345893444,3
llama3.1-8b,yo,must_may,rule_clause_end,False,12,0.6614583333333334,,False,8,0.8445452254976065,8,1,1.0,1,7,0.45449876402257355,3
