model,language,peak_layer,top_plus,top_minus
qwen3-8b,en,13,igel Cro 严禁 ばかり helm ratings forth agoon,シェ 厚厚 rier 题材 辟 diver 诸侯 浪漫
qwen3-8b,de,4,fell ye 适当 Fall ynchron Rising 泛 墨,Combo 敦煌 Minecraft tribes 南极 赊 运维 ме
qwen3-8b,hi,19,ntag 进货 请你 tagged 念 请您 induction admin,reasonably 指导意见 seeded 可能发生 guided 有可能 但现在 自如
qwen3-8b,ig,19,nok 的文章 文章 付 'http Sü 罂 thetic,Dix 追 双向 開始 ime اغ Intel seeker
qwen3-8b,it,29,必须 must 必須 必须要 must 必需 MUST 你应该,还真 不小的 是可以 �� 的魅力 通俗 好的 有很多种
qwen3-8b,ko,19,tagged obrig ✘ 行政 deserted 奴 getIntent disob,酌 reasonably newline 结合 realistic 相结合 cant 中国人民
qwen3-8b,ru,19,repet 绳 请您 #: admin 新的一 请点击 repetitions,稳妥 经验和 差异化 skepticism 适度 prudent 穩 慎
qwen3-8b,tr,15,鹄 bomb urre Builders 曝光 中华 “[ Floating,月下 trì 喟 悝 夙 アウ 畚 对孩子
qwen3-8b,ur,13,edy errs 员 edian 模式 baz keyof 型企业,Atlas croft Sha Datum LOPT atlas Lies menus
qwen3-8b,yo,23,artisan 抑 养成 unsustainable Womens OSC 严格执行 毅力,试验区 开玩笑 磋商 itu 试点工作 不远 沙龙 谁知道
llama3.1-8b,en,9,zi Desert ahoma flown ać py 人物 transfers,oola opal sund ση ioni 合わせ ucch idel
llama3.1-8b,de,7,erea nez Protocol achat itas Merch protocol ่น,iais dma verter Till aille .attributes icari ominator
llama3.1-8b,hi,9,itzer ko trauma ypo c addCriterion voir wire,ontent アイ downt 仪 oron timeline قد edu
llama3.1-8b,ig,12,iram atta et kaz ree Assembly s iscal,FRING itorio wert sat нош .Serial _ASCII نگ
llama3.1-8b,it,11,_assignment iri pros lrt strap anth itzer 成,_managed gio атку атков Clair oot iox нима
llama3.1-8b,ko,3,lore /umd _PARTITION atatype (Path omas BaseService �,uar cai ETS quet caff else омі sonst
llama3.1-8b,ru,9,ko assignment c counter period voir fly …,.lex .twitch 機 blr ση #ac ogne �
llama3.1-8b,tr,8,(no logit-lens data),
llama3.1-8b,ur,10,rel 缘 � ej luet oren anship ancode,ment hay bac izik indre mental Escort componentWill
llama3.1-8b,yo,10,acier ifle силу berger acam qua millenn @js,instruct Design design MAC aken etsy avia ocrates
