model,language,contrast,position,frame_trivial,frame_peak_layer,frame_peak_auc,frame_onset_layer,scenario_trivial,scenario_peak_layer,scenario_peak_auc,scenario_onset_layer,binding_peak_layer,binding_peak_auc,binding_onset_layer,delta_onset_scenario_minus_binding,held_rate,held_n_judges
qwen3-8b,en,must_neutral,contrast_token,False,0,1.0,0,True,0,1.0,0,0,1.0,0,0,0.8775672313140013,3
qwen3-8b,de,must_neutral,contrast_token,False,1,1.0,0,True,1,1.0,0,2,1.0,1,-1,0.8784468479225035,3
qwen3-8b,hi,must_neutral,contrast_token,False,6,1.0,2,True,1,1.0,0,1,1.0,1,-1,0.7630465848564344,3
qwen3-8b,ig,must_neutral,contrast_token,False,1,1.0,0,True,3,1.0,0,6,1.0,5,-5,0.46620961628799734,3
qwen3-8b,it,must_neutral,contrast_token,False,3,1.0,0,True,0,1.0,0,7,1.0,4,-4,0.8383017633017632,3
qwen3-8b,ko,must_neutral,contrast_token,False,8,1.0,6,True,7,1.0,0,7,1.0,3,-3,0.8877492877492877,3
qwen3-8b,ru,must_neutral,contrast_token,False,1,1.0,1,True,1,1.0,0,4,1.0,2,-2,0.8932197622116522,3
qwen3-8b,tr,must_neutral,contrast_token,False,8,1.0,8,True,4,1.0,0,4,1.0,4,-4,0.8174738841405508,3
qwen3-8b,ur,must_neutral,contrast_token,False,8,1.0,1,True,3,1.0,0,7,1.0,7,-7,0.7415346912971051,3
qwen3-8b,yo,must_neutral,contrast_token,False,0,0.8888888888888888,4,True,1,1.0,0,1,1.0,1,-1,0.5232437339052717,3
llama3.1-8b,en,must_neutral,contrast_token,False,0,1.0,0,True,0,1.0,0,0,1.0,0,0,0.8172675902132132,3
llama3.1-8b,de,must_neutral,contrast_token,False,1,1.0,0,True,1,1.0,0,1,1.0,1,-1,0.818897594868965,3
llama3.1-8b,hi,must_neutral,contrast_token,False,2,1.0,2,True,1,1.0,0,5,1.0,4,-4,0.6523835135963282,3
llama3.1-8b,ig,must_neutral,contrast_token,False,1,1.0,0,True,2,1.0,0,5,1.0,4,-4,0.4880253331351136,3
llama3.1-8b,it,must_neutral,contrast_token,False,0,1.0,2,True,0,1.0,0,2,1.0,2,-2,0.8164852385102104,3
llama3.1-8b,ko,must_neutral,contrast_token,False,5,1.0,4,True,4,1.0,0,3,1.0,1,-1,0.7525502941397453,3
llama3.1-8b,ru,must_neutral,contrast_token,False,0,1.0,0,True,0,1.0,0,1,1.0,1,-1,0.8572420032135671,3
llama3.1-8b,tr,must_neutral,contrast_token,False,,,,True,0,1.0,0,1,1.0,1,-1,0.6483681858236637,3
llama3.1-8b,ur,must_neutral,contrast_token,False,5,1.0,0,True,0,1.0,0,5,1.0,4,-4,0.5660410345893444,3
llama3.1-8b,yo,must_neutral,contrast_token,False,1,0.8888888888888888,0,True,1,1.0,0,1,1.0,1,-1,0.45449876402257355,3
