model,language,contrast,position,frame_trivial,frame_peak_layer,frame_peak_auc,frame_onset_layer,scenario_trivial,scenario_peak_layer,scenario_peak_auc,scenario_onset_layer,binding_peak_layer,binding_peak_auc,binding_onset_layer,delta_onset_scenario_minus_binding,held_rate,held_n_judges
qwen3-8b,en,must_neutral,post_instruction,False,10,0.8611111111111112,9,False,13,0.890904509952129,3,22,0.8713793922127255,15,-12,0.8775672313140013,3
qwen3-8b,de,must_neutral,post_instruction,False,14,0.8819444444444444,11,False,14,0.9284454522549761,3,21,0.840807400102272,19,-16,0.8784468479225035,3
qwen3-8b,hi,must_neutral,post_instruction,False,19,0.875,18,False,19,0.8216175359032502,,18,0.7755634085762291,,,0.7630465848564344,3
qwen3-8b,ig,must_neutral,post_instruction,False,4,0.828125,4,False,35,0.8790627362055934,3,15,0.7761501022718972,14,-11,0.46620961628799734,3
qwen3-8b,it,must_neutral,post_instruction,False,13,0.8784722222222222,10,False,13,0.8785588309397834,10,21,0.8877383300460223,19,-9,0.8383017633017632,3
qwen3-8b,ko,must_neutral,post_instruction,False,11,0.8802083333333334,10,False,13,0.8193499622071051,10,22,0.7816403681788298,20,-10,0.8877492877492877,3
qwen3-8b,ru,must_neutral,post_instruction,False,19,0.8502604166666666,10,False,19,0.9072814310909549,4,21,0.9567672949083206,17,-13,0.8932197622116522,3
qwen3-8b,tr,must_neutral,post_instruction,False,13,0.8424479166666666,8,False,12,0.8838498362307886,3,22,0.7529722770107385,,,0.8174738841405508,3
qwen3-8b,ur,must_neutral,post_instruction,False,19,0.7322048611111112,,False,13,0.8248929201310153,10,22,0.837319197896121,21,-11,0.7415346912971051,3
qwen3-8b,yo,must_neutral,post_instruction,False,29,0.6957465277777778,,False,25,0.7152935248173343,,14,0.83715483234714,4,,0.5232437339052717,3
llama3.1-8b,en,must_neutral,post_instruction,False,10,0.8715277777777778,9,False,10,0.964222726127488,7,9,0.8554770253488202,8,-1,0.8172675902132132,3
llama3.1-8b,de,must_neutral,post_instruction,False,11,0.8051215277777778,9,False,9,0.9198790627362056,8,10,0.7815033968880123,8,0,0.818897594868965,3
llama3.1-8b,hi,must_neutral,post_instruction,False,14,0.7313368055555556,,False,12,0.8321995464852607,8,9,0.7833616407334356,9,-1,0.6523835135963282,3
llama3.1-8b,ig,must_neutral,post_instruction,False,13,0.95703125,12,False,9,0.8790627362055934,9,2,0.6002995105559208,,,0.4880253331351136,3
llama3.1-8b,it,must_neutral,post_instruction,False,10,0.9131944444444444,9,False,2,0.8148148148148148,2,14,0.7831607495069034,13,-11,0.8164852385102104,3
llama3.1-8b,ko,must_neutral,post_instruction,False,9,0.8407118055555556,6,False,12,0.7956664147140338,,13,0.7430053327489224,,,0.7525502941397453,3
llama3.1-8b,ru,must_neutral,post_instruction,False,10,0.9574652777777778,8,False,10,0.8997228521038045,1,9,0.8891902257286872,8,-7,0.8572420032135671,3
llama3.1-8b,tr,must_neutral,post_instruction,False,14,0.8020833333333334,,False,5,0.7729906777525826,,15,0.7148851267441011,,,0.6483681858236637,3
llama3.1-8b,ur,must_neutral,post_instruction,False,14,0.8046875,,False,12,0.7886117409926934,9,7,0.5705310833515962,,,0.5660410345893444,3
llama3.1-8b,yo,must_neutral,post_instruction,False,15,0.5746527777777778,,False,12,0.7745023935500126,,8,0.891564394769523,6,,0.45449876402257355,3
