model,language,peak_layer,top_plus,top_minus
qwen3-8b,en,2,大纲 enance _defaults unger nih Degree stakes _ERRORS,folk mini itos frei gram folk Labrador iano
qwen3-8b,de,9,ocular 大人 -enter somehow _cmds ustrial 又要 既要,习惯 说什么 IFT YZ YP YPD 習慣 linger
qwen3-8b,hi,13,清晰 万分 _conversion 清楚 Clear CLEAR 疏通 clear,都喜欢 .lazy 那么容易 都不会 thử expect 点多 roasted
qwen3-8b,ig,12,rule rule ullet ­t rules GMEM entai committed,Eventually .li .mk /fl mere Eventually (hr eventual
qwen3-8b,it,7,Scr .mount Overflow 决战 Disp 额度 aci 长相,潜 处理 承办 rhs socket KT <Base сторон
qwen3-8b,ko,8,才能 才可以 才能够 缜 才有 urv 奥林匹 替,MDB MDB candles 伴 McCabe _Load .assign ward
qwen3-8b,ru,21,carving 刻 无论如何 Absolutely uckle DOWNLOAD 绝对 深切,但在 但是如果 但对于 normally ordinarily …but 但现在 惯例
qwen3-8b,tr,11,urgently 纤 duro deutsch 以便 TCHAR down enger,habitual fos 揩 itra .relative artin Asked 游戏中
qwen3-8b,ur,10,才行 tempt alie lest 妥 urgently =output EVER,都不会 ugin NavController fx Fatal admir fixture SCN
qwen3-8b,yo,26,然后 THEN then 那么 THEN 接着 then 然后再,只能 严禁 停留在 只得 Forbidden 刊登 どころ 擅
llama3.1-8b,en,10,.Orientation Victor llib вст /legal ВА Petit ovací,784 late ahlen 164 fiscal 932 tü вар
llama3.1-8b,de,,,
llama3.1-8b,hi,8,chnitt illery Ton \OptionsResolver strict Ton anium emd,dáv ENTE udi lue mercial ویه pedia pickle
llama3.1-8b,ig,7,aldi .Localization hete � .uni getDb @brief cors,quez c vre ЕС ubber oggler sc pha
llama3.1-8b,it,7,_SA muh .rd Past � υτό افته κτη,alth alama esco richt CISION �� mercial Portrait
llama3.1-8b,ko,,,
llama3.1-8b,ru,12,_Collections -hooks indr [to Berry edd chnitt _collections,ify orado IFY artner � Audi assi ODO
llama3.1-8b,tr,8,specs anium \OptionsResolver oft Kw eder presso .Orientation,pedia Hab alth -neutral olk uppy عی lining
llama3.1-8b,ur,9,silver itto ков ilden _CTX χη essler plá,gii dic Maher ЕС ảo Laud entonces etta
llama3.1-8b,yo,8,211 bare Murdoch Kerr Owens Herr pl Explanation,alara alus assen ekler uilder ゾ стор dden
