model,language,peak_layer,top_plus,top_minus
qwen3-8b,en,0,Longer Cop outward 一人 张扬 unsub 虔 ertext,话说 İN /Library ROLL SPA _builtin uate 缺
qwen3-8b,de,1,了解更多 Cla 洁净 loff _DECLARE 诠 ut 矶,zin zhou 情况下 ulist flyer ing xuyên 不负
qwen3-8b,hi,1,吻 _CT paraph 倍 div 谁知道 поч ivable,seg dex 钞 Wolfe dag secondo 之初 Hancock
qwen3-8b,ig,3,-fw .DAO _coin steel fts 淹 枳 索尼,fabric ukan ャ ocal ocate 目 崇高 s
qwen3-8b,it,0,.dr dle ADVISED шли Advice  getResponse -dr,ureau pics anv Presidency pitch Nib tif orient
qwen3-8b,ko,7,(no logit-lens data),
qwen3-8b,ru,1,葵 /connection 随时 时刻 Ingredients surtout tận Trinity,obl drawer eras '&# fers 希望通过 CBS drawers
qwen3-8b,tr,4,lack s h eria slightest atted 况 首家,uron 这方面 nowled awan ContentSize 🏻 图文 afs
qwen3-8b,ur,3,bbe anmar atis Compatible plr ferr LLL 千年,社会化 hin 意义上的 膻 cy ihar 高地 这才是
qwen3-8b,yo,1,衮 企图 oble 博物 ôle 持有的 Cosmetic .repositories,er 件事 eus ivals 个人 ein runner 人造
llama3.1-8b,en,0,dro prepared adní lubric olith kosten true Prepared,iais oje imbus ptal utex trak ewn 族自治
llama3.1-8b,de,1,moz liğinde ункт romatic ranges Shield baum ��,EMPL ocity engu odash taire ifo Tape uckle
llama3.1-8b,hi,1,antity δό iage ftime ози erval ardu sonraki,mada inta itz rchive NewProp corp PageRoute /source
llama3.1-8b,ig,2,apur ipa occan ooth ModelProperty ・・・ chia �,marching 459 issen tac balk redi PED bunk
llama3.1-8b,it,0,sam spo eno bsolute リン mouseleave vailability ovny,uch tz etz _unused lady Pant 梯 lad
llama3.1-8b,ko,4,że obus borr ashes арат =<?= indre iate,aga 214 zech JpaRepository 218 aza 색 674
llama3.1-8b,ru,0,arta infer amer onga ighth McGr dens defaultMessage,znik hof anos ulos اذ öy печ bens
llama3.1-8b,tr,0,imm adro Marketable .ribbon เตอร endor uldu aho,awy alytics eway stro aven isman ự ché
llama3.1-8b,ur,0,advent NotSupportedException ania tember arp anten ITLE .jp,nea idge ione хол Thornton 塚 906 اقل
llama3.1-8b,yo,1,lac 707 arih ůst urse etag uars unar,for IDL auss ippi uming amoto oti �
