model,language,peak_layer,top_plus,top_minus
qwen3-8b,en,0,Redistribution 顽 聚 疏 Inc 些什么 作出 作出了,illin 车上 /tests RemoteException hem _lm 录音 ANCH
qwen3-8b,de,0,透 SG 出版 内外 bound oy 衍 atters,家长们 厢 imageName ilion sticker laus Dao 筒
qwen3-8b,hi,1,s 吻 特长 ил loon pus 飞行 [][,ester 的步伐 bris 绐 завод uhl upgrading 传授
qwen3-8b,ig,6,isol sing � Turnbull decode -encoded айн 叶,_cons levator هة charg veloper apur Challenge porno
qwen3-8b,it,0,西路 eli crack 划 empre embr erca originals,stile bef 钏 itches picture Latch mixin 镝
qwen3-8b,ko,9,至少 因果 起码 体会 urgently oblig necessarily Elk,freely 很方便 yah 陟 utom FORE 笺 棘
qwen3-8b,ru,1,gem APPER sic acious 日起 在美国 abs anch,侦 要做好 卉 verd 歪 不对 不开 utors
qwen3-8b,tr,10,起码 至少 urgently 必要 rhyme ilm 臾 迭,freely 有限 否 loosely 自由 xiv -init {!!
qwen3-8b,ur,2,tumble bulk bulk 糍 adar asure 驻 駐,iversity ively 门槛 naz 号码 sw ernel 滥
qwen3-8b,yo,1,shields 贻 croll capped getc corpor Shrine chronic,件事 imates eq Represents ustum ends onas oir
llama3.1-8b,en,0,scr 659 bomb Bomb adní 765 /stat 적인,hani ruba γγ zdy APPED ención Hearth iece
llama3.1-8b,de,0,emi _Release iese erry XB sun 戒 ill,ular 990 ASE engkap овах ukt 象 �
llama3.1-8b,hi,1,embr Metro oco theless Fram themselves 777 ogui,azes idata SEA 仔 ランド Lecture meer acemark
llama3.1-8b,ig,2,oui apur Kimberly neh _INCLUDED otch /AP зн,اس oping 감 cash ca aring .tel broad
llama3.1-8b,it,0,/DD avenport chner chsel ulton حل uters indow,tz pus rain Maria _unused ucci irus arious
llama3.1-8b,ko,5,zá )&& gov Hak рг Firmware _usage ixer,urname ive obbled agne esc Pa lech OPY
llama3.1-8b,ru,1,gens eter baiser oste inski .zh ogram ogl,thora ど tg ActionCreators ̣ .utilities integerValue foundland
llama3.1-8b,tr,17,luv noc arine urons urtle baugh amel inke,icas Hughes ick adi iles loff may aves
llama3.1-8b,ur,0,osy ANTS burgh adic ADVERTISEMENT бин icus adow,� ắng inet iner рави puck _builtin odi
llama3.1-8b,yo,1,avig ůst ngx .Ui омі fabs alking 期,ampa Sing sher Heard kud нам � 催
