model,language,contrast,position,frame_trivial,frame_peak_layer,frame_peak_auc,frame_onset_layer,scenario_trivial,scenario_peak_layer,scenario_peak_auc,scenario_onset_layer,binding_peak_layer,binding_peak_auc,binding_onset_layer,delta_onset_scenario_minus_binding,held_rate,held_n_judges
qwen3-8b,en,must_neutral,rule_clause_end,False,16,0.9670138888888888,2,False,2,0.982363315696649,2,2,1.0,1,1,0.8775672313140013,3
qwen3-8b,de,must_neutral,rule_clause_end,False,10,1.0,7,False,9,1.0,2,2,1.0,1,1,0.8784468479225035,3
qwen3-8b,hi,must_neutral,rule_clause_end,False,22,0.99609375,9,False,13,0.9974804736709498,5,1,1.0,1,4,0.7630465848564344,3
qwen3-8b,ig,must_neutral,rule_clause_end,False,36,0.875,3,False,12,0.9677500629881582,3,8,1.0,8,-5,0.46620961628799734,3
qwen3-8b,it,must_neutral,rule_clause_end,False,11,0.9995659722222222,5,False,7,0.9931972789115646,3,7,1.0,4,-1,0.8383017633017632,3
qwen3-8b,ko,must_neutral,rule_clause_end,False,9,0.9995659722222222,7,False,8,1.0,1,7,1.0,3,-2,0.8877492877492877,3
qwen3-8b,ru,must_neutral,rule_clause_end,False,21,1.0,4,False,21,0.9931972789115646,2,4,1.0,2,0,0.8932197622116522,3
qwen3-8b,tr,must_neutral,rule_clause_end,False,11,0.9934895833333334,5,False,11,0.9969765684051398,1,4,1.0,4,-3,0.8174738841405508,3
qwen3-8b,ur,must_neutral,rule_clause_end,False,11,0.8910590277777778,5,False,10,0.983371126228269,5,7,1.0,7,-2,0.7415346912971051,3
qwen3-8b,yo,must_neutral,rule_clause_end,False,10,0.6766493055555556,,False,26,0.8969513731418494,5,1,1.0,1,4,0.5232437339052717,3
llama3.1-8b,en,must_neutral,rule_clause_end,False,5,0.9952256944444444,2,False,10,0.999748047367095,1,2,1.0,1,0,0.8172675902132132,3
llama3.1-8b,de,must_neutral,rule_clause_end,False,9,0.9947916666666666,4,False,,,,1,1.0,1,,0.818897594868965,3
llama3.1-8b,hi,must_neutral,rule_clause_end,False,8,0.9735243055555556,6,False,8,0.999748047367095,2,5,1.0,4,-2,0.6523835135963282,3
llama3.1-8b,ig,must_neutral,rule_clause_end,False,10,0.9761284722222222,6,False,7,0.999748047367095,4,9,1.0,7,-3,0.4880253331351136,3
llama3.1-8b,it,must_neutral,rule_clause_end,False,9,0.9986979166666666,4,False,7,1.0,3,2,1.0,2,1,0.8164852385102104,3
llama3.1-8b,ko,must_neutral,rule_clause_end,False,6,0.9917534722222222,4,False,,,,3,1.0,1,,0.7525502941397453,3
llama3.1-8b,ru,must_neutral,rule_clause_end,False,11,1.0,3,False,12,0.9901738473167044,1,1,1.0,1,0,0.8572420032135671,3
llama3.1-8b,tr,must_neutral,rule_clause_end,False,8,0.9930555555555556,4,False,8,1.0,1,1,1.0,1,0,0.6483681858236637,3
llama3.1-8b,ur,must_neutral,rule_clause_end,False,8,0.9127604166666666,6,False,9,0.9967246157722348,4,5,1.0,4,0,0.5660410345893444,3
llama3.1-8b,yo,must_neutral,rule_clause_end,False,17,0.7352430555555556,,False,8,0.8460569412950365,4,1,1.0,1,3,0.45449876402257355,3
