model,language,peak_layer,top_plus,top_minus
qwen3-8b,en,13,劲 malink apus riba 👎 Trait dust NEL,也知道 deck pare uations 그래 都知道 浪漫 累累
qwen3-8b,de,14,酬 骷 obed 壕 equilibrium лег дж 隔着,-tools -- 容 Dar hone 结 拖 wards
qwen3-8b,hi,19,"Declared disqualified Admin 无效 不爱 ),"" _CM 才是真正",reasonably optim realistically 是一项 大型 optim eclectic 咂
qwen3-8b,ig,35,Ach ach ach Achie gh Orch ache ACH,车队 interv Em 吡 !) !’ coni intervene
qwen3-8b,it,13,-dot 纵横 lest 可用于 ENER 通告 舍不得 瞻,琨 浪漫 ymoon 切尔 ocking นา 弥 于一体
qwen3-8b,ko,13,áp xếp 秃 ENER -dot 衫 lø engo,mainly pare 取 徹 OSE 淡化 来说 ru
qwen3-8b,ru,19,"LabelText 请点击 绳 酷 ,callback StringRef 遵守 lords",mostly optim 因地制宜 这样一个 -Core ไหว (( bers
qwen3-8b,tr,12,lest тол Pike onas Clock زل Closet lem,estre ensch protocols armor 曙光 Assurance 抽出 抬头
qwen3-8b,ur,13,iss mens brut mix (dynamic .decode ocode directions,orgh 打着 结 复兴 panion 光荣 不由得 忍不住
qwen3-8b,yo,25,Jack Jack locker 低碳 رين Japan Japanese 淦,S s :S Seymour ... 巽 =S (...)
llama3.1-8b,en,10,elig unds /rfc memberof aos tabpanel acon -src,confess рай 318 idores gli _BS ーテ ライ
llama3.1-8b,de,9,podob odash ertino isque бо itage azel //{{,oro ovol sett 913 alum uros ield dent
llama3.1-8b,hi,12,combe inness ONLY Nav sco scooter uy Mariners,ảy /tos -hide osit .va atten 못 텐
llama3.1-8b,ig,9,GRAT Capitals .sax sian GOODMAN �� LEE ozem,undert ardi oin ellen flesh istica 附 ologna
llama3.1-8b,it,2,Aç Cloth DAC SolidColorBrush 割 وط ifr ायक,apl gypt awn ergarten depend ifar timed Garr
llama3.1-8b,ko,12,ngrx AndWait � rees antaged enos .scalablytyped amina,ynet lesh inar ержав ode ival kul ikt
llama3.1-8b,ru,10,elig zac tabpanel piel hq ανά імі 覚,perfection idores .tm ainless ตร accom bies 頃
llama3.1-8b,tr,5,ropa طف ùi ovice ende ayers empo asma,Mate DRV cích prec capt цез 371 ızı
llama3.1-8b,ur,12,� iren emoc ekl ENTE ente ngrx NAL,lesh /tos elic 奇 forget ToProps ellar imeo
llama3.1-8b,yo,12,� واج oca اج numéro abcdefghijklmnop iple /grpc,adden ieber Mits Pruitt elho fet uell ohn
