model,language,contrast,position,frame_trivial,frame_peak_layer,frame_peak_auc,frame_onset_layer,scenario_trivial,scenario_peak_layer,scenario_peak_auc,scenario_onset_layer,binding_peak_layer,binding_peak_auc,binding_onset_layer,delta_onset_scenario_minus_binding,held_rate,held_n_judges
qwen3-8b,en,must_may,post_instruction,False,14,0.9613715277777778,10,False,13,0.8856135046611238,10,22,0.8713793922127255,15,-5,0.8775672313140013,3
qwen3-8b,de,must_may,post_instruction,False,16,0.8949652777777778,14,False,4,0.8770471151423532,2,21,0.840807400102272,19,-17,0.8784468479225035,3
qwen3-8b,hi,must_may,post_instruction,False,19,0.9288194444444444,17,False,19,0.8939279415469892,15,18,0.7755634085762291,,,0.7630465848564344,3
qwen3-8b,ig,must_may,post_instruction,False,15,0.5963541666666666,,False,19,0.7923910304862686,13,15,0.7761501022718972,14,-1,0.46620961628799734,3
qwen3-8b,it,must_may,post_instruction,False,15,0.7855902777777778,12,False,29,0.8684807256235828,10,21,0.8877383300460223,19,-9,0.8383017633017632,3
qwen3-8b,ko,must_may,post_instruction,False,15,0.8927951388888888,10,False,19,0.9543965734441925,3,22,0.7816403681788298,20,-17,0.8877492877492877,3
qwen3-8b,ru,must_may,post_instruction,False,19,0.8159722222222222,15,False,19,0.8236331569664903,11,21,0.9567672949083206,17,-6,0.8932197622116522,3
qwen3-8b,tr,must_may,post_instruction,False,10,0.7447916666666666,,False,15,0.8337112622826909,6,22,0.7529722770107385,,,0.8174738841405508,3
qwen3-8b,ur,must_may,post_instruction,False,15,0.8415798611111112,,False,13,0.9201310153691106,10,22,0.837319197896121,21,-11,0.7415346912971051,3
qwen3-8b,yo,must_may,post_instruction,False,2,0.6150173611111112,,False,23,0.7760141093474426,,14,0.83715483234714,4,,0.5232437339052717,3
llama3.1-8b,en,must_may,post_instruction,False,10,0.9131944444444444,9,False,9,0.9647266313932981,8,9,0.8554770253488202,8,0,0.8172675902132132,3
llama3.1-8b,de,must_may,post_instruction,False,11,0.8016493055555556,,False,7,0.8337112622826909,7,10,0.7815033968880123,8,-1,0.818897594868965,3
llama3.1-8b,hi,must_may,post_instruction,False,12,0.7973090277777778,,False,9,0.7974300831443688,11,9,0.7833616407334356,9,2,0.6523835135963282,3
llama3.1-8b,ig,must_may,post_instruction,False,13,0.6332465277777778,,False,12,0.8027210884353742,,2,0.6002995105559208,,,0.4880253331351136,3
llama3.1-8b,it,must_may,post_instruction,False,14,0.8723958333333334,10,False,11,0.8080120937263794,10,14,0.7831607495069034,13,-3,0.8164852385102104,3
llama3.1-8b,ko,must_may,post_instruction,False,,,,False,3,0.8798185941043084,2,13,0.7430053327489224,,,0.7525502941397453,3
llama3.1-8b,ru,must_may,post_instruction,False,14,0.8611111111111112,10,False,9,0.8430335097001763,9,9,0.8891902257286872,8,1,0.8572420032135671,3
llama3.1-8b,tr,must_may,post_instruction,False,14,0.7847222222222222,,False,8,0.7770219198790628,,15,0.7148851267441011,,,0.6483681858236637,3
llama3.1-8b,ur,must_may,post_instruction,False,14,0.7743055555555556,,False,10,0.8490803728898967,8,7,0.5705310833515962,,,0.5660410345893444,3
llama3.1-8b,yo,must_may,post_instruction,False,0,0.5,,False,10,0.7714789619551524,,8,0.891564394769523,6,,0.45449876402257355,3
